Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2025-08-30,2025-08-30Z,18:30:00Z,Galatasaray,Rizespor,RAMS Park,7ijezdjp8t0rjti91ac63hyxg,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7ijezdjp8t0rjti91ac63hyxg/player-stats,,13,2025-12-02T10:45:18Z,,,
2025-08-30,2025-08-30Z,18:30:00Z,Antalyaspor,Fatih Karagümrük,Corendon Airlines Park,7gjvbykbzwilxv4mavsxv9bmc,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7gjvbykbzwilxv4mavsxv9bmc/player-stats,,13,2025-12-04T14:20:10Z,,,
2025-08-30,2025-08-30Z,16:00:00Z,Kocaelispor,Kayserispor,Turka Arac Muayene Kocaeli Stadyumu,7jb0npdmeb6ojafgb2smuzwno,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7jb0npdmeb6ojafgb2smuzwno/player-stats,,13,2025-12-03T16:35:09Z,,,
2025-08-30,2025-08-30Z,16:00:00Z,Kasımpaşa,Gaziantep FK,Recep Tayyip Erdoğan Stadyumu,7g61zs42iljpc1ky02wyknrbo,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7g61zs42iljpc1ky02wyknrbo/player-stats,,13,2025-12-06T10:29:34Z,,,
2025-08-29,2025-08-29Z,18:30:00Z,Göztepe,Konyaspor,Gürsel Aksel Stadyumu,7i3qcvob3yhpbg0c6dr4eepec,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7i3qcvob3yhpbg0c6dr4eepec/player-stats,,13,2025-11-04T14:48:46Z,,,
2025-08-25,2025-08-25Z,16:00:00Z,Eyüpspor,Alanyaspor,Siltaş Yapı Pendik Stadyumu,7cn1spfgctpfyc3kn1pv451ck,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7cn1spfgctpfyc3kn1pv451ck/player-stats,,13,2025-12-06T12:06:14Z,,,
2025-08-24,2025-08-24Z,18:30:00Z,Kayserispor,Galatasaray,RHG Enertürk Enerji Stadyumu,7fs7klh6to32rqnr08298ywpg,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7fs7klh6to32rqnr08298ywpg/player-stats,,13,2025-12-02T12:01:18Z,,,
2025-08-24,2025-08-24Z,16:00:00Z,Trabzonspor,Antalyaspor,Papara Park,7dgtvoxemr78c4lktaerfrml0,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7dgtvoxemr78c4lktaerfrml0/player-stats,,13,2025-12-04T14:20:10Z,,,
2025-08-23,2025-08-23Z,18:30:00Z,Fenerbahçe,Kocaelispor,Chobani Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,7f04im5upg8scmk9n8xtzju38,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7f04im5upg8scmk9n8xtzju38/player-stats,,13,2025-12-03T16:35:09Z,,,
2025-08-23,2025-08-23Z,18:30:00Z,Gaziantep FK,Gençlerbirliği,Gaziantep Stadyumu,7emcl8xcmgzkcikex3k12qihg,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7emcl8xcmgzkcikex3k12qihg/player-stats,,13,2025-12-04T09:17:45Z,,,
