Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2025-12-13,2025-12-13Z,20:30:00Z,Delfín,Aucas,Estadio Jocay,efynzd96kp3ptwzedqv21bu38,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/efynzd96kp3ptwzedqv21bu38/player-stats,,13,2025-12-11T07:37:20Z,,,
2025-12-13,2025-12-13Z,20:30:00Z,Macará,Deportivo Cuenca,Estadio Bellavista de Ambato,efkmghfrzw1bxmnqmagzflno4,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/efkmghfrzw1bxmnqmagzflno4/player-stats,,13,2025-12-11T07:37:21Z,,,
2025-12-10,2025-12-10Z,22:00:00Z,Independiente Valle,LDU Quito,Estadio Banco Guayaquil,9wqxgcoeyg1yskyxrzturb95g,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/9wqxgcoeyg1yskyxrzturb95g/player-stats,,13,2025-12-11T00:37:58Z,,,
2025-12-09,2025-12-09Z,00:00:00Z,Emelec,Macará,Estadio George Capwell Banco del Austro,eew16gfb357kzig1w63u1pmac,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/eew16gfb357kzig1w63u1pmac/player-stats,,13,2025-12-09T18:08:48Z,,,
2025-12-07,2025-12-07Z,21:30:00Z,Barcelona,Universidad Católica,Estadio Monumental Banco Pichincha,7z01jxh0em8fpxjq28psdv1g4,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7z01jxh0em8fpxjq28psdv1g4/player-stats,,13,2025-12-11T22:40:57Z,,,
2025-12-07,2025-12-07Z,19:00:00Z,El Nacional,Aucas,Estadio Municipal La Cocha,eejt3xfviqnxnpnatjotl826s,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/eejt3xfviqnxnpnatjotl826s/player-stats,,13,2025-12-09T17:02:27Z,,,
2025-12-06,2025-12-06Z,22:00:00Z,Independiente Valle,Libertad,Estadio Banco Guayaquil,7zcx9xba79md4gzmqvgcf6vx0,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7zcx9xba79md4gzmqvgcf6vx0/player-stats,,13,2025-12-12T11:30:58Z,,,
2025-12-06,2025-12-06Z,22:00:00Z,Orense,LDU Quito,Estadio 9 de Mayo,7yn0hoctipzx5divlciwmk3ro,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/7yn0hoctipzx5divlciwmk3ro/player-stats,,13,2025-12-11T17:39:15Z,,,
2025-12-06,2025-12-06Z,00:00:00Z,Deportivo Cuenca,Delfín,Estadio Alejandro Serrano Aguilar Banco del Austro,ef8c6gj3sz5btpi9gxswt8h78,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/ef8c6gj3sz5btpi9gxswt8h78/player-stats,,13,2025-12-10T20:23:30Z,,,
2025-11-30,2025-11-30Z,23:00:00Z,Delfín,Emelec,Estadio Jocay,edv9y6a0pm4y13w3zu76fj1n8,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/edv9y6a0pm4y13w3zu76fj1n8/player-stats,,13,2025-12-02T23:44:40Z,,,
2025-11-30,2025-11-30Z,20:30:00Z,Macará,El Nacional,Estadio Bellavista de Ambato,ee7lsq381g1xibe6yx28oa32s,South America,Ecuador,Liga Pro,6lwpjhktjhl9g7x2w7njmzva6,liga-pro-2025,2025,https://www.scoresway.com/en_GB/soccer/liga-pro/liga-pro-2025/match/view/ee7lsq381g1xibe6yx28oa32s/player-stats,,13,2025-12-07T05:14:35Z,,,
